2005-06-01	6054
2005-06-02	6196
2005-06-03	5108
2005-06-04	4233
2005-06-05	3834
2005-06-06	4435
2005-06-07	6210
2005-06-08	5640
2005-06-09	5743
2005-06-10	5430
2005-06-11	3847
2005-06-12	4237
2005-06-13	5061
2005-06-14	5813
2005-06-15	6110
2005-06-16	5779
2005-06-17	5129
2005-06-18	3483
2005-06-19	3715
2005-06-20	5240
2005-06-21	5279
2005-06-22	5893
2005-06-23	5467
2005-06-24	4818
2005-06-25	2724
2005-06-26	2939
2005-06-27	5211
2005-06-28	5779
2005-06-29	5230
2005-06-30	5608
2005-07-01	5041
2005-07-02	4045
2005-07-03	4050
2005-07-04	5468
2005-07-05	5569
2005-07-06	5548
2005-07-07	5211
2005-07-08	4735
2005-07-09	2917
2005-07-10	3222
2005-07-11	5120
2005-07-12	5229
2005-07-13	4474
2005-07-14	4608
2005-07-15	4545
2005-07-16	2212
2005-07-17	2183
2005-07-18	4591
2005-07-19	5268
2005-07-20	5221
2005-07-21	5030
2005-07-22	5096
2005-07-23	3043
2005-07-24	3289
2005-07-25	5243
2005-07-26	5880
2005-07-27	5161
2005-07-28	5572
2005-07-29	5284
2005-07-30	2827
2005-07-31	3022
2005-08-01	4133
2005-08-02	6121
2005-08-03	5820
2005-08-04	6090
2005-08-05	5523
2005-08-06	3587
2005-08-07	3913
2005-08-08	5720
2005-08-09	6109
2005-08-10	6325
2005-08-11	6275
2005-08-12	5535
2005-08-13	3577
2005-08-14	3760
2005-08-15	6073
2005-08-16	5765
2005-08-17	6579
2005-08-18	6106
2005-08-19	5330
2005-08-20	3797
2005-08-21	4286
2005-08-22	4121
2005-08-23	6766
2005-08-24	6288
2005-08-25	5988
2005-08-26	5239
2005-08-27	3732
2005-08-28	4099
2005-08-29	5574
2005-08-30	5541
2005-08-31	6230
2005-09-01	5846
2005-09-02	5250
2005-09-03	3621
2005-09-04	3544
2005-09-05	4981
2005-09-06	5095
2005-09-07	3971
2005-09-08	4787
2005-09-09	5051
2005-09-10	3799
2005-09-11	3737
2005-09-12	4169
2005-09-13	4856
2005-09-14	5107
2005-09-15	5438
2005-09-16	4761
2005-09-17	3180
2005-09-18	3643
2005-09-19	4743
2005-09-20	4810
2005-09-21	5124
2005-09-22	4855
2005-09-23	4517
2005-09-24	3217
2005-09-25	3907
2005-09-26	4536
2005-09-27	4889
2005-09-28	4652
2005-09-29	4683
2005-09-30	4730
2005-10-01	3621
2005-10-02	4030
2005-10-03	4040
2005-10-04	4655
2005-10-05	4710
2005-10-06	4398
2005-10-07	4350
2005-10-08	3292
2005-10-09	3366
2005-10-10	4227
2005-10-11	4457
2005-10-12	4673
2005-10-13	4640
2005-10-14	4725
2005-10-15	3611
2005-10-16	3507
2005-10-17	331
2005-10-18	1874
2005-10-19	4029
2005-10-20	4298
2005-10-21	4112
2005-10-22	2924
2005-10-23	3441
2005-10-24	4061
2005-10-25	4948
2005-10-26	5323
2005-10-27	5036
